Dozentennummer,ProsopID,Vollname,Nachname,Vorname,Geburt,Tod,Institution,Fakultaet,Typ,Beschreibung,Von,Bis,Verwandt
41,0.0.41,Hübner Johann Rudolf ( Hybnerus ),Hübner,Johann Rudolf ( Hybnerus ),,1692-10-20,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Pfarrer Sumiswald', 'Studium an der Hohen Schule Bern und Studien im Ausland', 'VDM Bern', 'Provisor an der Lateinschule Bern', 'Erster Pfarrer Thun', 'Kämmerer des Kapitels Thun', 'Ausserordentlicher Professor der hebräischen Sprache', 'Professor der Theologie', 'Praepositus des Klosters', 'Helfer Bern ( Münster )', 'Promotion auf eine Pfarrstelle', 'Pfarrer Bern ( Münster )', 'Oberster Dekan']","['1651-01-01', '1654-01-01', '1656-01-01', '1657-01-01', '1658-01-01', '1663-01-01', '1659-01-01', '1671-01-01', '1674-01-01']","['1654-01-01', '1656-01-01', '1658-01-01', '1659-01-01', '1663-01-01', '1674-01-01', '1692-01-01']",['Enkel von Professor Peter Hübner ( Nr. 21 )']
42,0.0.42,Niklaus Johannes ( Nicolaus ),Niklaus,Johannes ( Nicolaus ),,1676-03-20,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern', 'Studien im Ausland', 'VDM Bern', '( ? ) Provisor Lateinschule Bern', 'Professor der Philosophie', 'Professor der hebräischen Sprache', 'Professor der Theologie', 'Praepositus der Lateinschule', 'Praepositus des Klosters', 'Promotion auf eine Helferstelle', 'Tod', 'Helfer Bern ( Münster )']","['1655-01-01', '1658-01-01', '1662-01-01', '1671-01-01', '1668-01-01', '1676-01-01']","['1658-01-01', '1668-01-01', '1662-01-01', '1671-01-01']",[]
43,0.0.43,Lutz Emanuel ( Lucius ),Lutz,Emanuel ( Lucius ),1627-05-13,1713-09-24,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium an der Hohen Schule Bern und an der Universität Heidelberg', 'VDM Bern', 'Dr. phil. Heidelberg', 'Professor der griechischen Sprache', 'Promotion auf eine Pfarrstelle', 'Pfarrer Kirchdorf']","['1659-01-01', '1664-01-01']",['1713-01-01'],[]
44,0.0.44,Ruef Johann ( Rueffius ),Ruef,Johann ( Rueffius ),,1667-09-05,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern', 'Studien im Ausland', 'VDM Bern', 'Pfarrer Umiken bei Brugg', 'Pfarrer Brugg', 'Ausserordentlicher Professor der hebräischen Sprache und der catechetischen Theologie', 'Professor der hebräischen Sprache und der catechetischen Theologie', 'Praepositus des Klosters', 'Promotion auf eine Pfarrstelle', 'Helfer Bern ( Münster )']","['1652-01-01', '1654-01-01', '1659-01-01', '1661-01-01', '1662-01-01']","['1654-01-01', '1659-01-01', '1662-01-01', '1667-01-01']",[]
45,0.0.45,Wyss David ( Albinus ),Wyss,David ( Albinus ),1632-07-08,1700-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'akad_aemter_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an der Hohen Schule Bern', 'Studienreise durch Holland', 'VDM Bern', 'Professor der Philosophie', 'Professor der hebräischen Sprache und der catechetischen Theologie', 'Professor der Theologie', 'Professor der Theologia Didactica', 'Praepositus der Lateinschule', 'Praepositus des Klosters', 'Tod']","['1662-01-01', '1669-01-01', '1676-01-01', '1698-01-01', '1700-01-01']","['1669-01-01', '1676-01-01']",['Schwiegervater von Professor Jakob Hortin ( Nr. 63 )']
46,0.0.46,Henzi Samuel ( Henzius ),Henzi,Samuel ( Henzius ),1634-08-24,1701-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern und in Holland', 'VDM Bern', 'Pfarrer Belp', 'Professor der griechischen Sprache', 'Professor der praktischen Philosophie', 'Professor der catechetischen Theologie', 'Praepositus der Lateinschule', 'Praepositus des Klosters', 'Promotion auf eine Pfarrstelle', 'Pfarrer Vinelz']","['1661-01-01', '1664-01-01', '1676-01-01', '1669-01-01', '1686-01-01']","['1664-01-01', '1676-01-01', '1686-01-01', '1701-01-01']",['Urenkel von Professor Niklaus Henzi ( Nr. 28 )']
47,0.0.47,Bourgeois David ( Bourgesius ),Bourgeois,David ( Bourgesius ),,1725-01-01,['Hohe Schule'],['Hohe Schule'],"['akad_aemter_unibe', 'austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Professor der Philosophie', 'Praepositus der Lateinschule', 'Promotion auf eine Pfarrstelle', 'Pfarrer Ins']","['1669-01-01', '1676-01-01', '1684-01-01']","['1684-01-01', '1725-01-01']",[]
48,0.0.48,Rudolf Johann Rudolph ( Rodolphus ),Rudolf,Johann Rudolph ( Rodolphus ),1646-10-04,1718-09-18,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern und an den Universitäten Genf Saumur Paris Oxford und Basel', 'Studienreise nach Frankreich Deutschland und England', 'VDM Bern', 'Pfarrer Seon', 'Professor der hebräischen Sprache und der praktischen Philosophie', 'Professor der hebräischen Sprache und der catechetischen Theologie', 'Professor der Theologia Elenchtica', 'Professor der Theologia Didactica', 'Praepositus der Lateinschule', 'Praepositus des Klosters', 'Tod']","['1671-01-01', '1675-01-01', '1676-01-01', '1688-01-01', '1698-01-01', '1700-01-01', '1684-01-01', '1687-01-01', '1718-01-01']","['1676-01-01', '1687-01-01', '1698-01-01']","['Vater von Professor Daniel Rudolf ( Nr. 62 ), Grossvater von Professor Samuel Ludwig Rudolf ( Nr. 82 )']"
49,0.0.49,Seelmatter Johann Caspar,Seelmatter,Johann Caspar,1644-01-01,1715-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Studium an der Hohen Schule Bern', 'Studienreise', 'Studien an den Universitäten Heidelberg Genf Sedan Puylaurent Saumur Paris Oxford und an niederländischen Hochschulen', 'Magister Sedan', 'Doktor Sedan', 'VDM Bern', 'Hauslehrer des Grafen Bentheim', 'Honorarprofessor Leyden', 'Ausserordentlicher Professor Juris und Politico', 'Promotion auf eine Pfarrstelle ( gleichzeitige Aufhebung dieser ausserordentlichen Professur )', 'Pfarrer Mett', 'Pfarrer Staufberg']","['1674-01-01', '1675-01-01', '1679-01-01', '1686-01-01', '1711-01-01']","['1675-01-01', '1679-01-01', '1711-01-01', '1715-01-01']",[]
50,0.0.50,Bondeli Emanuel ( Bondelnius ),Bondeli,Emanuel ( Bondelnius ),1600-01-01,1734-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Akademie Lausanne ( ? )', 'Studien im Ausland Weltlichen Standes', 'Professor an der Akademie Lausanne ( Philosophie )', 'Professor der Eloquenz', 'Rektor der Hohen Schule ( ? )', 'Demission', 'Landvogt in Aubonne', 'Landvogt in Tscherliz']","['1682-01-01', '1684-01-01', '1701-01-01', '1720-01-01']","['1684-01-01', '1720-01-01']",[]
51,0.0.51,Leemann Samuel ( Leemannus ),Leemann,Samuel ( Leemannus ),1651-01-01,1709-08-14,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern', 'Studienreise nach Lausanne Genf Puylaurent Saumur Oxford Utrecht Leyden Groningen', 'VDM Bern', 'Pfarrer Ligerz', 'Professor der Philosophie', 'Professor der hebräischen Sprache', 'Professor der Theologia Elenchtica', 'Praepositus der Lateinschule', 'Praepositus des Klosters', 'Rektor der Hohen Schule', 'Tod']","['1676-01-01', '1678-01-01', '1684-01-01', '1698-01-01', '1700-01-01', '1687-01-01', '1697-01-01', '1709-01-01']","['1678-01-01', '1684-01-01', '1698-01-01', '1700-01-01']",[]
52,0.0.52,Malacrida Elisäus,Malacrida,Elisäus,1658-01-01,,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern', 'Studienreise nach Frankreich England und Holland', 'VDM Bern', 'Prediger der Berner Kolonisten in Potsdam', 'Professor der griechischen Sprache und der praktischen Philosophie ( Ethik )', 'Professor der Theologia Elenchtica', 'Professor der Theologia Didactica', 'Praepositus der Lateinschule', 'Tod']","['1685-01-01', '1686-01-01', '1709-01-01', '1718-01-01', '1698-01-01', '1719-01-01']","['1686-01-01', '1709-01-01']",[]
53,0.0.53,Martell Andreas ( Martellus ),Martell,Andreas ( Martellus ),1618-03-20,1698-01-01,['Hohe Schule'],['Hohe Schule'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an den Akademien Montauban und Saumur', 'Pfarrer in Saint-Affrique bei Montauban bis', 'Pfarrer Montauban', 'Professor Montauban', 'Professor Puylaurent', 'Aufenthalt in Genf und Lausanne', 'Ausserordentlicher Professor der Theologie', 'Tod']","['1653-01-01', '1659-01-01', '1685-01-01', '1686-01-01', '1698-01-01']","['1658-01-01', '1685-01-01', '1686-01-01']",[]
54,0.0.54,Morlott Markus,Morlott,Markus,1668-02-24,1751-08-17,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Ausserordentlicher Professor der Eloquenz', 'Demission', 'Salzkassaverwalter', 'Erster bernischer Vogt im Thurgau', 'Mitglied der Kommission für die englischen Gelder', 'Salzdirektor', 'Vennerzu Metzgern']","['1690-01-01', '1697-01-01', '1701-01-01', '1716-01-01', '1722-01-01', '1739-01-01', '1751-01-01']",['1724-01-01'],[]
55,0.0.55,Gerwer Daniel,Gerwer,Daniel,1670-01-01,1718-04-16,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern', 'VDM Bern', 'Pfarrer in Hindelbank', 'Kämmerer der Klasse zu Burgdorf', 'Ausserordentlicher Professor der Eloquenz', 'Professor der griechischen Sprache', 'Professor der hebräischen Sprache', 'Rektor der Hohen Schule', 'Promotion auf eine Pfarrei', 'Tod']","['1694-01-01', '1699-01-01', '1708-01-01', '1697-01-01', '1709-01-01', '1715-01-01', '1718-01-01']","['1709-01-01', '1698-01-01', '1712-01-01']",[]
56,0.0.56,König Samuel,König,Samuel,1670-01-01,1750-05-31,['Hohe Schule'],['Hohe Schule'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an den Hohen Schulen Bern und Zürich', 'an den Universitäten Franeker ( Niederlande ) und Basel', 'Studienreisen in Holland und England', 'VDM Bern', 'Pfarrer an der Heiliggeistkirche Bern', 'Wanderleben als Expatriierter: Herborn Berleburg Halle Magdeburg ( s. 8 )', 'Hofprediger beim Grafen Isenburg-Büdingen', 'Ausserordentlicher Professor der Eloquenz', 'Honorarprofessor der hebräischen Sprache', 'Ausserordentlicher Professor der Arithmetik und Geometrie', 'Entlassung / als Pietist aus Bern verbannt', 'Tod']","['1698-01-01', '1699-01-01', '1711-01-01', '1730-01-01', '1736-01-01', '1750-01-01']","['1699-01-01', '1711-01-01', '1730-01-01', '1738-01-01', '1750-01-01']",[]
57,0.0.57,Düringer Melchior,Düringer,Melchior,1650-01-01,1726-01-01,['Hohe Schule'],['Hohe Schule'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an der Hohen Schule in Bern und an anderen Akademien', 'VDM Bern', 'Feldprediger in Katalonien', 'bei Berner Truppen ( Erlach )', 'Pfarrer Seedorf', 'Pfarrer Meikirch Pfarrer in der Pfalz in Heidelberg Hannover', 'Honorarprofessor der Kirchengeschichte und Chronologie', 'Tod']","['1676-01-01', '1681-01-01', '1700-01-01', '1726-01-01']","['1681-01-01', '1687-01-01']",[]
58,0.0.58,Haller Samuel ( Hallerus ),Haller,Samuel ( Hallerus ),1658-01-01,1715-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern', 'Studien im Ausland', 'VDM Bern', 'Pfarrer Amsoldingen', 'Helfer am Münster Bern', 'Professor der hebräischen Sprache', 'Praepositus des Klosters', 'Tod']","['1687-01-01', '1692-01-01', '1700-01-01', '1715-01-01']","['1692-01-01', '1700-01-01', '1715-01-01']",[]
59,0.0.59,Benoit Johann Friedrich Benedikt ( Benedictus ),Benoit,Johann Friedrich Benedikt ( Benedictus ),1671-10-22,,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'akad_aemter_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an der Hohen Schule in Bern', 'VDM Bern', 'Ausserordentlicher Professor der Eloquenz', 'Professor der Philosophie', 'Rektor der Hohen Schule', 'Praepositus der Lateinschule', 'Praepositus des Klosters', 'Tod']","['1700-01-01', '1701-01-01', '1706-01-01', '1709-01-01', '1715-01-01', '1727-01-01']","['1715-01-01', '1727-01-01']",[]
60,0.0.60,Scheurer Samuel,Scheurer,Samuel,1685-01-01,1747-09-20,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'akad_aemter_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an der Hohen Schule Bern', 'Studienreise durch Deutschland Holland und England', 'VDM Bern', 'Professor der Eloquenz', 'Professor der hebräischen Sprache und der praktischen Philosophie ( Ethik )', 'Professor der hebräischen Sprache und der catechetischen Theologie', 'Professor der Theologia Elenchtica', 'Professor der Theologia Didactica', '( ? ) Praepositus der Lateinschule', 'Praepositus des Klosters', 'Tod']","['1711-01-01', '1709-01-01', '1718-01-01', '1720-01-01', '1735-01-01', '1745-01-01', '1726-01-01', '1728-01-01', '1747-01-01']","['1728-01-01', '1738-01-01']",[]
61,0.0.61,Ringier Johann Heinrich ( Ringierius ),Ringier,Johann Heinrich ( Ringierius ),1668-01-01,1745-05-10,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern und an den Universitäten Groningen und Franeker', 'Studienreise durch England Holland und Frankreich', 'VDM Bern', 'Schüler von Rollius ( Theologe und Philosoph in Franeker )', 'Feldprediger bei Berner Truppen in Holland', 'Pfarrer Zimmerwald', 'Pfarrer Seeberg', 'Professor der griechischen Sprache', 'Professor der griechischen Sprache und der Theologia Catechetica', 'Professor der Theologia Elenchtica', 'Professor der Theologia Didactica', 'Praepositus der Lateinschule', 'Tod']","['1692-01-01', '1699-01-01', '1707-01-01', '1715-01-01', '1718-01-01', '1720-01-01', '1734-01-01', '1745-01-01']","['1698-01-01', '1707-01-01', '1715-01-01', '1726-01-01']",[]
62,0.0.62,Rudolf Daniel,Rudolf,Daniel,,1732-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium an der Hohen Schule Bern und an der Universität Halle', 'VDM Bern', 'Professor der Eloquenz ( Stellvertretung )', 'Promotion auf eine Pfarrstelle', 'Pfarrer Gränichen']","['1716-01-01', '1718-01-01']",[],"['Sohn von Professor Johann Rudolph Rudolf ( Nr. 48 ), Vater von Professor Samuel Ludwig Rudolf ( Nr. 82 )']"
63,0.0.63,Hortin Jakob ( Hortinus ),Hortin,Jakob ( Hortinus ),1662-11-14,1734-08-31,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern', 'VDM Bern', 'Pfarrer Kirchlindach', 'Professor der Theologia Elenchtica', 'Professor der Theologia', 'Rektor der Hohen Schule', 'Tod']","['1692-01-01', '1718-01-01', '1719-01-01', '1721-01-01', '1734-01-01']","['1718-01-01', '1724-01-01']",['Schwiegersohn von Professor David Wyss ( Nr. 45 )']
64,0.0.64,Lauffer Johann Jakob ( Laufferus ),Lauffer,Johann Jakob ( Laufferus ),1688-01-01,1734-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an der Hohen Schule Bern und an den Universitäten Halle und Utrecht', 'Bildungsreise durch Deutschland Frankreich und Holland', 'VDM Bern', 'Professor der Eloquenz', 'Tod']","['1717-01-01', '1718-01-01', '1734-01-01']",[],[]
65,0.0.65,von Waldkirch Johann Rudolf,von Waldkirch,Johann Rudolf,1678-10-23,1757-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium an der Universität Basel', 'MA Basel', 'Dr. jur. Basel', 'Professor Juris', 'Ruf nach Basel', 'Professor Basel', 'Rektor der Universität Basel', 'Chorherr Basel ( St. Peter )']","['1696-01-01', '1711-01-01', '1718-01-01', '1722-01-01', '1727-01-01']","['1757-01-01', '1728-01-01']",[]
66,0.0.66,Salchli Johann Rudolf,Salchli,Johann Rudolf,1688-10-30,1746-06-02,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern und an der Universität Utrecht', 'Studienreise durch Frankreich Deutschland und Holland', 'VDM Bern', 'Schüler von Rollius ( Theologe und Philosoph in Utrecht )', 'Feldprediger bei Berner Truppen in Freiburg i. Br.', 'Helfer Burgdorf', 'Professor der griechischen Sprache', 'Professor der hebräischen Sprache', 'Professor der Theologia Elenchtica', 'Rektor der Hohen Schule', 'Praepositus der Lateinschule', 'Praepositus des Klosters', 'Tod']","['1715-01-01', '1716-01-01', '1717-01-01', '1720-01-01', '1735-01-01', '1745-01-01', '1728-01-01', '1730-01-01', '1738-01-01', '1746-01-01']","['1717-01-01', '1720-01-01', '1730-01-01', '1738-01-01', '1746-01-01']",['Bruder von Professor Johann Jakob Salchli ( Nr. 75 )']
67,0.0.67,Bernoulli Niklaus,Bernoulli,Niklaus,1695-01-27,1726-07-26,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium an der Universität Basel', 'Bildungsreisen nach Paris und Venedig', 'Magister Phil. Basel', 'Lic. jur. Basel', 'Professor Juris', 'Ruf nach Petersburg', 'Professor Juris an der Akademie Petersburg']","['1711-01-01', '1715-01-01', '1723-01-01', '1725-01-01']",['1726-01-01'],[]
68,0.0.68,Jenner Gottlieb,Jenner,Gottlieb,1696-02-14,1774-06-24,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium an der Hohen Schule Bern und an den Universitäten Halle und Leyden', 'Studienreisen nach Frankreich und England', 'VDM Bern', 'Dr. jur. Leyden', 'Professor Juris', 'Demission', 'Landvogt in Erlach', 'Salzdirektor von Roche']","['1721-01-01', '1725-01-01', '1726-01-01', '1748-01-01', '1756-01-01']",[],[]
69,0.0.69,Egger Johannes,Egger,Johannes,1694-01-01,1736-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'akad_aemter_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an der Hohen Schule Bern', 'VDM Bern', 'Professor der Philosophie', 'Rektor der Hohen Schule', 'Tod']","['1725-01-01', '1728-01-01', '1733-01-01', '1736-01-01']",[],[]
70,0.0.70,Altmann Johann Georg,Altmann,Johann Georg,1695-04-21,1758-03-18,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Hohe Schule in Bern', 'VDM Bern', 'Bibliothekar Bern', 'Ausbeutung eines Bergwerks bei Frutigen', 'Pfarrer in Wählern', 'Professor der Eloquenz', 'Professor der griechischen Sprache', 'Rektor der Hohen Schule', 'Praepositus der Lateinschule', 'Praepositus des Klosters', 'Promotion an eine Pfarrstelle', 'Pfarrer in Ins']","['1725-01-01', '1723-01-01', '1726-01-01', '1732-01-01', '1734-01-01', '1735-01-01', '1736-01-01', '1739-01-01', '1746-01-01', '1757-01-01']","['1732-01-01', '1734-01-01', '1739-01-01', '1746-01-01', '1753-01-01', '1758-01-01']",['Schwiegervater von Professor Samuel Anton Wilhelmi ( Nr. 83 )']
71,0.0.71,Brunner Johann Rudolf ( Brunnerus ),Brunner,Johann Rudolf ( Brunnerus ),1698-01-01,1752-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'akad_aemter_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an der Hohen Schule Bern und an der Universität Marburg', 'VDM Bern', 'Professor der Eloquenz', 'Professor der Philosophie', 'Rektor der Hohen Schule', 'Tod']","['1727-01-01', '1735-01-01', '1736-01-01', '1739-01-01', '1752-01-01']",['1742-01-01'],[]
72,0.0.72,Kirchberger Johann Friedrich,Kirchberger,Johann Friedrich,1711-01-01,1762-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern und an der Universität Marburg', 'VDM Bern', '( ? ) Pfarrer Marburg', 'Professor der Eloquenz', 'Rektor der Hohen Schule', '( ? ) Praepositus der Lateinschule', 'Praepositus des Klosters', 'Promotion auf eine Pfarrstelle', 'Pfarrer Ins']","['1736-01-01', '1734-01-01', '1737-01-01', '1742-01-01', '1746-01-01', '1753-01-01', '1758-01-01']","['1736-01-01', '1758-01-01', '1744-01-01', '1753-01-01', '1762-01-01']",[]
